formation,fairy,speed,has_HG,tank,has_armor,max_HP,DPS,has_chip,damage
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,22
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,22
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,25
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,19
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,22
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,25
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,19
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,19
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,13
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,17
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,18
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,22
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,26
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,20
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,22
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,47
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,37
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,38
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,36
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,47
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,24
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,43
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,72
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,20
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,69
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,24
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,36
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,40
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,61
b-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,23
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,47
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,40
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,26
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,24
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,18
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,17
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,24
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,35
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,21
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,32
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,28
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,22
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,16
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,24
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 8/8,1,17
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,9
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,6
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,22
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,11
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,22
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,15
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,14
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,20
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,18
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,12
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,12
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,17
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,23
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,18
b-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,10
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,9
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,15
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,18
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,13
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,39
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,24
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,32
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,51
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,16
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,17
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,17
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,15
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,15
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,14
b-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,21
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,49
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,29
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,39
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,54
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,46
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,37
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,53
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,62
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,41
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,32
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,34
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,35
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,40
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,43
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,50
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,48
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,48
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,47
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,43
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,61
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,31
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,44
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,72
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,44
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,36
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,34
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,46
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,98
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,38
b-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,61
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,58
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,18
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,69
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,59
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,17
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,13
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,25
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,23
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,15
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,25
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,29
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,23
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,24
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,23
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 8/8,1,18
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,28
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,30
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,34
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,30
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,33
